player_id,player_name,avatar_url,team_abbr,pos,age,gp,mpg,pts,fg3_pct,reb,ast,stl,blk,tov,pool,archetype,season,jersey_no
doncilu01,Luka Dončić,https://www.basketball-reference.com/req/202106291/images/headshots/doncilu01.jpg,LAL,PG,26,64,35.8,33.5,0.37,7.7,8.3,1.6,0.5,4.0,rotation,playmaker,2025-26,77
gilgesh01,Shai Gilgeous-Alexander,https://www.basketball-reference.com/req/202106291/images/headshots/gilgesh01.jpg,OKC,PG,27,68,33.2,31.1,0.39,4.3,6.6,1.4,0.8,2.2,rotation,playmaker,2025-26,2
edwaran01,Anthony Edwards,https://www.basketball-reference.com/req/202106291/images/headshots/edwaran01.jpg,MIN,SG,24,61,35.0,28.8,0.4,5.0,3.7,1.4,0.8,2.9,rotation,shooter,2025-26,5
brownja02,Jaylen Brown,https://www.basketball-reference.com/req/202106291/images/headshots/brownja02.jpg,BOS,SF,29,71,34.4,28.7,0.35,6.9,5.1,1.0,0.4,3.6,rotation,two_way,2025-26,7
maxeyty01,Tyrese Maxey,https://www.basketball-reference.com/req/202106291/images/headshots/maxeyty01.jpg,PHI,PG,25,70,38.0,28.3,0.37,4.1,6.6,1.9,0.8,2.4,rotation,playmaker,2025-26,0
leonaka01,Kawhi Leonard,https://www.basketball-reference.com/req/202106291/images/headshots/leonaka01.jpg,LAC,SF,34,65,32.1,27.9,0.39,6.4,3.6,1.9,0.4,2.0,rotation,shooter,2025-26,2
mitchdo01,Donovan Mitchell,https://www.basketball-reference.com/req/202106291/images/headshots/mitchdo01.jpg,CLE,SG,29,70,33.5,27.9,0.36,4.5,5.7,1.5,0.3,2.8,rotation,perimeter_defense,2025-26,45
jokicni01,Nikola Jokić,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,DEN,C,30,65,34.8,27.7,0.38,12.9,10.7,1.4,0.8,3.7,rotation,shooter,2025-26,15
antetgi01,Giannis Antetokounmpo,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,MIL,PF,31,36,28.9,27.6,0.33,9.8,5.4,0.9,0.7,3.2,rotation,big,2025-26,34
embiijo01,Joel Embiid,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,PHI,C,31,38,31.6,26.9,0.33,7.7,3.9,0.6,1.2,2.9,rotation,two_way,2025-26,21
