team_abbr,team_name,season,wins,losses,ortg,drtg,nrtg,pace,pts_for,pts_against,fg3_pct,reb,ast,stl,blk,tov,ts_pct,tov_pct_off,orb_pct
ATL,Atlanta Hawks,2025-26,46,36,116.1,113.7,2.4,101.7,118.5,116.0,0.371,43.5,30.1,9.4,4.7,14.2,0.554,0.18,0.55
BOS,Boston Celtics,2025-26,56,26,120.8,112.7,8.1,94.8,114.9,107.2,0.367,46.4,24.6,7.1,5.0,12.4,0.553,0.17,0.52
BRK,Brooklyn Nets,2025-26,20,62,108.7,119.0,-10.3,97.1,105.9,115.9,0.34,39.3,25.0,8.0,4.3,15.8,0.52,0.21,0.57
CHI,Chicago Bulls,2025-26,31,51,113.0,118.1,-5.1,102.5,116.3,121.5,0.356,45.0,28.5,7.6,5.0,15.3,0.547,0.19,0.55
CHO,Charlotte Hornets,2025-26,44,38,119.4,114.4,5.0,96.8,116.0,111.2,0.378,46.1,26.3,7.0,4.5,15.4,0.552,0.2,0.54
CLE,Cleveland Cavaliers,2025-26,52,30,119.2,115.1,4.1,99.9,119.5,115.4,0.36,44.4,28.3,8.5,5.0,14.0,0.561,0.21,0.54
DAL,Dallas Mavericks,2025-26,26,56,111.2,116.5,-5.3,101.7,114.1,119.6,0.344,44.7,25.3,7.5,5.2,14.5,0.527,0.22,0.55
DEN,Denver Nuggets,2025-26,54,28,122.6,117.4,5.2,98.4,122.1,116.9,0.396,44.0,29.0,6.8,4.0,12.9,0.577,0.24,0.54
DET,Detroit Pistons,2025-26,60,22,117.9,109.7,8.2,99.3,117.8,109.6,0.356,45.6,27.8,10.4,6.4,15.1,0.546,0.22,0.52
GSW,Golden State Warriors,2025-26,37,45,115.0,115.6,-0.6,99.0,114.6,115.2,0.356,42.3,28.9,9.7,4.2,15.7,0.549,0.19,0.55
HOU,Houston Rockets,2025-26,52,30,118.6,113.2,5.4,96.1,115.2,110.0,0.364,48.1,25.4,8.5,5.8,15.4,0.542,0.2,0.53
IND,Indiana Pacers,2025-26,19,63,110.9,118.8,-7.9,101.0,112.4,120.4,0.356,41.9,27.7,7.4,4.6,14.5,0.533,0.2,0.56
LAC,Los Angeles Clippers,2025-26,42,40,117.3,116.1,1.2,96.5,113.8,112.6,0.368,40.6,23.7,9.0,4.9,14.3,0.559,0.24,0.55
LAL,Los Angeles Lakers,2025-26,53,29,118.2,116.4,1.8,98.3,116.3,114.6,0.359,41.0,25.9,8.5,4.3,14.5,0.573,0.24,0.56
MEM,Memphis Grizzlies,2025-26,25,57,112.9,118.8,-5.9,101.3,114.7,120.7,0.353,42.1,27.8,8.8,4.8,15.1,0.533,0.2,0.56
MIA,Miami Heat,2025-26,43,39,116.7,114.5,2.2,103.4,120.9,118.5,0.361,46.3,29.0,8.6,4.3,13.7,0.542,0.21,0.54
MIL,Milwaukee Bucks,2025-26,32,50,112.9,119.3,-6.4,97.6,110.6,116.8,0.387,40.7,25.8,7.4,4.0,15.2,0.565,0.16,0.56
MIN,Minnesota Timberwolves,2025-26,49,33,116.8,113.5,3.3,100.5,118.0,114.6,0.37,44.1,26.1,8.7,5.8,14.8,0.559,0.21,0.53
NOP,New Orleans Pelicans,2025-26,26,56,114.4,118.9,-4.5,100.3,115.5,120.0,0.347,43.9,25.1,8.9,5.2,14.2,0.527,0.22,0.56
NYK,New York Knicks,2025-26,53,29,119.8,113.3,6.5,96.8,116.5,110.1,0.373,45.6,27.4,8.1,3.9,13.6,0.557,0.19,0.54
OKC,Oklahoma City Thunder,2025-26,64,18,118.9,107.7,11.2,99.3,119.0,107.9,0.365,44.1,25.8,9.7,5.5,12.6,0.561,0.21,0.52
ORL,Orlando Magic,2025-26,45,37,114.9,114.3,0.6,100.0,115.7,115.1,0.343,43.4,26.5,8.5,4.7,14.2,0.531,0.25,0.55
PHI,Philadelphia 76ers,2025-26,45,37,115.4,115.5,-0.1,99.4,115.9,116.1,0.349,43.6,24.6,9.1,5.7,13.6,0.53,0.22,0.54
PHO,Phoenix Suns,2025-26,45,37,115.4,113.9,1.5,97.2,112.6,111.1,0.361,43.1,24.6,9.5,4.2,14.5,0.537,0.18,0.54
POR,Portland Trail Blazers,2025-26,42,40,114.4,114.7,-0.3,100.5,115.5,115.8,0.343,46.0,25.1,8.3,5.5,17.3,0.534,0.21,0.54
SAC,Sacramento Kings,2025-26,22,60,111.4,121.5,-10.1,99.2,111.0,121.0,0.34,42.3,25.5,8.0,4.5,14.3,0.525,0.2,0.57
SAS,San Antonio Spurs,2025-26,62,20,119.6,111.3,8.3,99.9,119.8,111.5,0.359,47.0,28.1,7.5,5.5,13.5,0.559,0.21,0.52
TOR,Toronto Raptors,2025-26,46,36,115.9,113.0,2.9,98.4,114.6,111.8,0.354,42.1,29.5,8.8,4.8,13.7,0.546,0.2,0.54
UTA,Utah Jazz,2025-26,22,60,114.1,122.3,-8.2,102.3,117.6,126.0,0.345,43.8,29.6,8.9,3.8,15.5,0.536,0.22,0.58
WAS,Washington Wizards,2025-26,17,65,111.0,122.7,-11.7,101.4,112.9,124.9,0.359,41.9,25.0,8.0,5.5,15.7,0.535,0.18,0.56
