SEASON,N_PLAYERS,AVG_FG3A,AVG_FG3_PCT,AVG_AST,AVG_PTS,AVG_REB,AVG_FGA
1996-97,264,1.993,0.267,2.586,11.398,4.737,9.298
1997-98,269,1.451,0.23,2.526,10.98,4.677,9.131
1998-99,256,1.519,0.229,2.399,10.452,4.648,8.885
1999-00,275,1.532,0.26,2.503,10.921,4.734,9.171
2000-01,277,1.545,0.25,2.486,10.589,4.64,8.998
2001-02,282,1.643,0.256,2.466,10.71,4.693,9.105
2002-03,278,1.652,0.242,2.409,10.644,4.662,8.998
2003-04,265,1.752,0.249,2.522,10.902,4.738,9.284
2004-05,294,1.751,0.243,2.394,10.919,4.62,8.986
2005-06,281,1.86,0.261,2.399,11.295,4.605,9.16
2006-07,288,1.931,0.261,2.452,11.345,4.555,9.101
2007-08,279,2.048,0.264,2.537,11.404,4.668,9.25
2008-09,276,2.106,0.28,2.439,11.699,4.689,9.419
2009-10,291,2.069,0.272,2.44,11.336,4.563,9.187
2010-11,296,2.022,0.264,2.36,10.945,4.496,8.916
2011-12,297,2.009,0.262,2.308,10.567,4.491,8.859
2012-13,299,2.184,0.277,2.451,10.714,4.46,8.929
2013-14,302,2.328,0.274,2.437,11.072,4.579,9.071
2014-15,329,2.339,0.281,2.33,10.584,4.491,8.829
2015-16,306,2.583,0.302,2.434,11.026,4.526,9.07
2016-17,320,2.806,0.304,2.357,11.001,4.469,8.868
2017-18,320,3.095,0.325,2.515,11.255,4.462,9.118
2018-19,323,3.383,0.32,2.637,11.676,4.639,9.371
2019-20,320,3.575,0.33,2.594,11.886,4.67,9.407
2020-21,345,3.702,0.332,2.661,11.887,4.597,9.377
2021-22,343,3.716,0.329,2.664,11.835,4.619,9.399
2022-23,323,3.709,0.339,2.806,12.513,4.567,9.596
2023-24,316,3.819,0.344,2.928,12.509,4.62,9.699
2024-25,340,3.999,0.327,2.861,12.283,4.664,9.617
