SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,EFG_PCT,TS_PCT,PACE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS
1996-97,1610612737,Atlanta Hawks,82,56,26,0.683,106.4,100.3,6.2,0.554,0.334,0.67,0.505,0.498,0.542,88.54,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,12.5,28.7,41.1,19.0,15.0,8.5,5.2,94.8,5.4
1996-97,1610612738,Boston Celtics,82,15,67,0.183,102.9,110.1,-7.2,0.584,0.329,0.658,0.482,0.474,0.52,96.78,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,13.3,26.7,40.0,21.9,16.4,9.9,3.8,100.6,-7.3
1996-97,1610612739,Cleveland Cavaliers,82,42,40,0.512,102.7,100.8,1.9,0.634,0.322,0.681,0.499,0.493,0.531,84.31,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,11.1,26.3,37.4,20.9,14.5,8.0,3.8,87.5,1.8
1996-97,1610612741,Chicago Bulls,82,69,13,0.841,112.4,100.7,11.8,0.654,0.374,0.67,0.524,0.511,0.547,91.5,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,15.1,30.0,45.1,26.1,13.5,8.7,4.0,103.1,10.8
1996-97,1610612742,Dallas Mavericks,82,24,58,0.293,99.5,106.0,-6.5,0.591,0.332,0.65,0.488,0.469,0.509,90.65,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,12.7,27.6,40.3,20.3,16.1,8.0,4.3,90.6,-6.4
1996-97,1610612743,Denver Nuggets,82,21,61,0.256,103.1,109.7,-6.6,0.644,0.324,0.666,0.496,0.486,0.53,93.67,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,12.1,29.9,42.0,23.0,16.6,6.1,5.9,97.8,-6.3
1996-97,1610612744,Golden State Warriors,82,30,52,0.366,105.3,110.3,-5.0,0.608,0.347,0.648,0.497,0.493,0.543,93.58,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,13.2,27.5,40.8,22.2,17.2,7.5,4.4,99.6,-4.7
1996-97,1610612745,Houston Rockets,82,57,25,0.695,107.5,102.8,4.7,0.663,0.318,0.692,0.514,0.52,0.56,92.73,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,11.3,31.3,42.6,24.5,16.6,8.4,4.2,100.6,4.5
1996-97,1610612746,Los Angeles Clippers,82,36,46,0.439,103.5,106.2,-2.8,0.556,0.339,0.654,0.492,0.482,0.524,92.65,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,13.3,27.3,40.7,20.3,16.0,8.9,5.4,97.2,-2.4
1996-97,1610612747,Los Angeles Lakers,82,56,26,0.683,106.4,102.3,4.2,0.611,0.343,0.658,0.501,0.496,0.535,92.61,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,13.3,29.4,42.8,22.5,14.9,9.0,7.0,100.0,4.3
1996-97,1610612748,Miami Heat,82,61,21,0.744,105.2,99.2,6.0,0.615,0.324,0.678,0.504,0.507,0.546,89.54,34.4,76.0,0.453,8.3,22.7,0.364,17.7,24.7,11.7,29.3,41.0,21.2,15.9,7.9,5.4,94.8,5.5
1996-97,1610612749,Milwaukee Bucks,82,33,49,0.402,104.7,106.7,-2.0,0.543,0.329,0.669,0.501,0.496,0.541,90.85,36.2,76.9,0.471,4.0,11.2,0.352,19.0,25.7,11.6,27.6,39.2,19.6,15.7,7.7,4.2,95.3,-1.9
1996-97,1610612750,Minnesota Timberwolves,82,40,42,0.488,103.9,105.5,-1.7,0.638,0.323,0.649,0.488,0.485,0.533,92.04,35.8,78.5,0.456,4.5,13.3,0.339,20.0,26.6,11.7,28.1,39.7,22.9,15.2,7.5,6.8,96.1,-1.5
1996-97,1610612751,New Jersey Nets,82,26,56,0.317,102.4,107.2,-4.8,0.576,0.376,0.669,0.513,0.456,0.499,94.47,36.5,86.5,0.422,5.9,16.7,0.353,18.3,24.8,17.2,29.0,46.2,21.0,15.7,8.3,5.9,97.2,-4.6
1996-97,1610612752,New York Knicks,82,57,25,0.695,102.9,99.5,3.4,0.628,0.323,0.7,0.519,0.501,0.546,91.84,35.1,75.9,0.463,5.7,15.8,0.363,19.3,25.8,11.9,30.7,42.5,22.1,17.8,7.7,4.6,95.4,3.1
1996-97,1610612753,Orlando Magic,82,45,37,0.549,103.8,104.2,-0.5,0.595,0.336,0.651,0.49,0.481,0.524,89.88,34.6,79.2,0.437,6.9,20.3,0.341,18.0,24.1,13.1,27.1,40.1,20.6,15.2,8.5,4.4,94.1,-0.4
1996-97,1610612754,Indiana Pacers,82,39,43,0.476,104.2,102.9,1.3,0.614,0.338,0.668,0.506,0.49,0.537,90.44,34.8,76.3,0.456,5.2,13.8,0.381,20.6,28.5,12.5,29.1,41.7,21.3,16.3,7.1,4.8,95.4,1.0
1996-97,1610612755,Philadelphia 76ers,82,22,60,0.268,102.6,109.5,-6.9,0.564,0.359,0.654,0.504,0.47,0.518,97.05,36.6,83.5,0.438,5.3,16.5,0.319,21.7,29.9,15.5,28.7,44.2,20.7,17.5,8.3,4.8,100.2,-6.5
1996-97,1610612756,Phoenix Suns,82,40,42,0.488,108.0,107.1,0.9,0.658,0.297,0.663,0.482,0.508,0.552,94.46,38.3,81.8,0.469,6.4,17.4,0.369,19.7,25.9,11.2,29.0,40.1,25.2,14.4,8.1,3.9,102.8,0.7
1996-97,1610612757,Portland Trail Blazers,82,49,33,0.598,106.3,102.1,4.2,0.57,0.358,0.691,0.527,0.503,0.544,92.17,36.6,78.8,0.464,6.1,17.1,0.358,19.7,27.6,12.9,30.4,43.3,20.8,16.5,7.8,5.3,99.0,4.2
1996-97,1610612758,Sacramento Kings,82,34,48,0.415,102.7,107.0,-4.3,0.598,0.348,0.661,0.502,0.485,0.526,92.68,36.6,80.6,0.454,5.0,12.9,0.391,18.2,25.2,13.4,28.1,41.5,21.9,16.2,7.2,4.4,96.4,-3.9
1996-97,1610612759,San Antonio Spurs,82,20,62,0.244,102.1,110.8,-8.8,0.588,0.344,0.643,0.49,0.472,0.512,88.45,34.5,77.9,0.442,4.6,14.4,0.32,16.9,23.5,13.4,26.0,39.4,20.3,15.2,7.9,5.3,90.5,-7.9
1996-97,1610612760,Seattle SuperSonics,82,57,25,0.695,109.6,101.0,8.5,0.644,0.341,0.657,0.5,0.51,0.557,91.68,36.5,78.2,0.467,6.8,19.3,0.353,21.0,28.0,12.3,27.7,40.0,23.5,15.0,11.0,4.7,100.9,7.7
