season,team_id,team_name,W,L,win_pct,off_rating,def_rating,pace,fg3_pct,fg3a,reb_pct,rpg,stl,blk,stl_blk
1996-97,1610612737,Atlanta Hawks,56,26,0.683,106.4,100.3,88.54,0.36,22.4,0.505,41.1,8.5,5.2,13.7
1997-98,1610612737,Atlanta Hawks,50,32,0.61,106.5,102.5,89.1,0.332,12.4,0.518,43.0,7.9,6.0,13.9
1998-99,1610612737,Atlanta Hawks,31,19,0.62,98.4,95.3,87.1,0.306,12.9,0.527,43.5,6.9,5.2,12.1
1999-00,1610612737,Atlanta Hawks,28,54,0.341,100.1,105.8,93.55,0.317,9.9,0.516,45.3,6.1,5.6,11.7
2000-01,1610612737,Atlanta Hawks,25,57,0.305,96.9,102.4,93.63,0.357,11.4,0.501,42.9,7.7,4.7,12.4
2001-02,1610612737,Atlanta Hawks,33,49,0.402,100.4,104.8,93.21,0.354,14.6,0.491,41.5,8.1,4.3,12.4
2002-03,1610612737,Atlanta Hawks,35,47,0.427,100.4,104.2,92.63,0.352,13.9,0.499,42.6,7.5,5.8,13.3
2003-04,1610612737,Atlanta Hawks,28,54,0.341,99.1,103.9,92.68,0.335,15.2,0.5,42.7,7.6,5.0,12.6
2004-05,1610612737,Atlanta Hawks,13,69,0.159,98.8,109.0,93.09,0.312,11.9,0.502,41.9,7.7,4.2,11.9
2005-06,1610612737,Atlanta Hawks,26,56,0.317,104.8,110.1,91.75,0.367,14.1,0.496,40.3,7.2,4.8,12.0
2006-07,1610612737,Atlanta Hawks,30,52,0.366,102.0,107.0,90.98,0.329,12.7,0.499,40.1,7.4,5.4,12.8
2007-08,1610612737,Atlanta Hawks,37,45,0.451,105.5,107.3,92.35,0.356,13.1,0.506,42.2,7.3,5.5,12.8
2008-09,1610612737,Atlanta Hawks,47,35,0.573,108.3,106.7,90.44,0.366,19.9,0.49,40.0,7.4,4.6,12.0
2009-10,1610612737,Atlanta Hawks,53,29,0.646,111.0,106.0,90.77,0.36,17.7,0.502,41.7,7.2,5.0,12.2
2010-11,1610612737,Atlanta Hawks,44,38,0.537,105.1,105.8,90.22,0.352,17.4,0.494,39.3,6.1,4.2,10.3
2011-12,1610612737,Atlanta Hawks,40,26,0.606,104.2,100.4,90.88,0.37,20.2,0.493,41.2,8.1,4.6,12.7
2012-13,1610612737,Atlanta Hawks,44,38,0.537,103.7,103.4,93.56,0.371,23.2,0.482,40.9,8.1,4.5,12.6
2013-14,1610612737,Atlanta Hawks,38,44,0.463,104.9,105.7,95.41,0.363,25.8,0.485,40.0,8.3,4.0,12.3
2014-15,1610612737,Atlanta Hawks,60,22,0.732,108.2,102.3,94.66,0.38,26.2,0.487,40.6,9.1,4.6,13.7
2015-16,1610612737,Atlanta Hawks,48,34,0.585,104.6,100.8,97.63,0.35,28.4,0.474,42.1,9.1,5.9,15.0
2016-17,1610612737,Atlanta Hawks,43,39,0.524,104.5,105.2,97.76,0.341,26.1,0.502,44.3,8.2,4.8,13.0
2017-18,1610612737,Atlanta Hawks,24,58,0.293,104.4,110.1,98.76,0.36,31.0,0.489,41.9,7.8,4.2,12.0
2018-19,1610612737,Atlanta Hawks,29,53,0.354,107.5,113.1,104.56,0.352,37.0,0.496,46.1,8.2,5.1,13.3
2019-20,1610612737,Atlanta Hawks,20,47,0.299,107.0,114.4,103.28,0.333,36.1,0.484,43.3,7.8,5.1,12.9
2020-21,1610612737,Atlanta Hawks,41,31,0.569,114.3,112.1,98.68,0.373,33.4,0.516,45.6,7.0,4.8,11.8
2021-22,1610612737,Atlanta Hawks,43,39,0.524,115.4,113.7,98.67,0.374,34.4,0.501,44.0,7.2,4.2,11.4
